observation_id,quality_grade,captive,taxon_name,taxon_rank,taxon_id,observations_count,conservation_status,threatened,endemic,introduced,iconic_taxa,taxon_common_name,created_at,observed_on,time_observed_at,uri,user_login,user_name,user_created_at,user_site_id,user_observations_count,longitude,latitude,geoprivacy,country_name,state_name
257600930,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-01-06T12:57:19-03:00,2025-01-05,2025-01-05T21:40:00-03:00,https://www.inaturalist.org/observations/257600930,santiagomailhos,Santiago Mailhos,2019-02-09T21:39:40+00:00,NaturalistaUY,13462,-58.0383130393,-32.5290188127,NA,Uruguay,Río Negro
257269751,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-03T17:14:04-03:00,2025-01-03,2025-01-03T17:11:00-03:00,https://www.inaturalist.org/observations/257269751,astridnautas,,2020-04-12T00:14:51+00:00,ArgentiNat,2755,-57.3742267862,-34.2685024596,NA,Uruguay,Colonia
256282288,research,FALSE,Metaphotina bimaculata,species,1513189,187,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-26T13:36:03-03:00,2024-01-17,NA,https://www.inaturalist.org/observations/256282288,iruleguigloria,Glória Irulegui,2024-03-06T18:37:24+00:00,NA,39,-55.5784771219,-30.9211865358,NA,Uruguay,Rivera
254850774,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-11T20:22:28-03:00,2024-12-11,2024-12-11T18:35:17-03:00,https://www.inaturalist.org/observations/254850774,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.2005551532,-34.8589284571,NA,Uruguay,Montevideo
254850514,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-11T20:18:29-03:00,2024-12-11,2024-12-11T18:50:37-03:00,https://www.inaturalist.org/observations/254850514,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.2006000802,-34.8589248806,NA,Uruguay,Montevideo
254842244,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-11T18:33:14-03:00,2024-12-11,2024-12-11T14:19:12-03:00,https://www.inaturalist.org/observations/254842244,lumonteiro,Lucía Monteiro,2023-10-16T16:14:59+00:00,NA,247,-56.2111366667,-34.853455,NA,Uruguay,Montevideo
254512691,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-08T11:49:55-03:00,2024-12-08,2024-12-08T11:44:25-03:00,https://www.inaturalist.org/observations/254512691,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.2063312903,-34.8591259893,NA,Uruguay,Montevideo
253950089,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2024-12-02T22:01:16-03:00,2024-11-04,2024-11-04T15:01:00-03:00,https://www.inaturalist.org/observations/253950089,franco_mendez,,2023-05-01T00:04:28+00:00,NaturalistaUY,839,-54.5727828672,-32.9950214683,NA,Uruguay,Treinta y Tres
253754773,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-12-01T11:28:32-03:00,2024-11-30,2024-11-30T11:59:39-03:00,https://www.inaturalist.org/observations/253754773,tinchotap,Martín Tapia,2024-09-20T01:40:13+00:00,NA,3,-56.130675,-34.8901533333,NA,Uruguay,Montevideo
253702499,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-11-30T23:46:12-03:00,2024-11-28,2024-11-28T19:45:28-03:00,https://www.inaturalist.org/observations/253702499,icebearpaul04,Pablo Berrondo,2023-11-18T22:20:07+00:00,NaturalistaUY,605,-56.213175,-34.7394027778,NA,Uruguay,Canelones
253391480,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2024-11-28T08:45:13-03:00,2024-11-28,2024-11-28T08:45:04-03:00,https://www.inaturalist.org/observations/253391480,camiladafonseca,NA,2024-03-13T12:56:31+00:00,iNaturalist,3,-58.3132807604,-33.1324070525,NA,Uruguay,Río Negro
252759494,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-11-23T16:47:18-03:00,2024-11-23,2024-11-23T16:37:37-03:00,https://www.inaturalist.org/observations/252759494,nachodav,Juan Ignacio Davoine,2021-11-18T01:17:26+00:00,NaturalistaUY,291,-55.6778264071,-34.7569890122,NA,Uruguay,Canelones
252512821,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-11-21T14:28:26-03:00,2024-11-21,2024-11-21T09:45:25-03:00,https://www.inaturalist.org/observations/252512821,santiagomailhos,Santiago Mailhos,2019-02-09T21:39:40+00:00,NaturalistaUY,13462,-58.0316416667,-32.5157466667,NA,Uruguay,Río Negro
251725829,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-11-14T23:00:56-03:00,2024-11-08,2024-11-08T11:42:00-03:00,https://www.inaturalist.org/observations/251725829,batitu,Adrian Antunez,2022-05-30T18:41:10+00:00,NaturalistaUY,1919,-57.6137886076,-30.1904521733,NA,Uruguay,Artigas
249686818,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-10-29T19:17:21-03:00,2024-05-10,2024-05-10T14:30:55-03:00,https://www.inaturalist.org/observations/249686818,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.1172876507,-34.8820816085,NA,Uruguay,Montevideo
245997670,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-10-06T15:18:07-03:00,2024-10-06,2024-10-06T15:13:27-03:00,https://www.inaturalist.org/observations/245997670,flosalgueiro,NA,2023-11-04T19:27:59+00:00,NaturalistaUY,129,-55.5680710729,-34.7817684431,NA,Uruguay,Canelones
243387498,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-09-22T14:30:29-03:00,2024-09-22,2024-09-22T13:31:00-03:00,https://www.inaturalist.org/observations/243387498,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-55.8281582997,-34.78128,NA,Uruguay,Canelones
242473981,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-09-18T09:45:15-03:00,2022-01-09,2022-01-09T00:01:35-03:00,https://www.inaturalist.org/observations/242473981,eld3ividftw,eld3ividFTW,2024-07-09T14:17:28+00:00,NaturalistaUY,14,-58.4134503454,-33.9128353776,NA,Uruguay,Colonia
241770891,needs_id,FALSE,Orthoderella,genus,465282,274,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-09-14T21:58:35-03:00,2024-09-13,2024-09-13T16:02:52-03:00,https://www.inaturalist.org/observations/241770891,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-55.2251583333,-34.8916694444,NA,Uruguay,Maldonado
233897484,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2024-08-05T05:29:55-03:00,2022-12-15,2022-12-15T10:23:00-03:00,https://www.inaturalist.org/observations/233897484,berni13,NA,2022-10-27T10:18:28+00:00,NaturalistaUY,331,-53.7983487612,-34.3934865857,NA,Uruguay,Rocha
226221664,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-06-30T13:38:12-03:00,2024-03-29,2024-03-29T14:44:00-03:00,https://www.inaturalist.org/observations/226221664,lautaro_fuentes,Lautaro Fuentes,2023-05-20T16:38:45+00:00,NaturalistaUY,812,-56.1639011084,-34.8481416391,NA,Uruguay,Montevideo
224680064,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-06-23T14:12:56-03:00,2024-03-30,2024-03-30T10:20:54-03:00,https://www.inaturalist.org/observations/224680064,silvanamallo,Silvana,2023-05-15T18:06:16+00:00,NaturalistaUY,437,-55.7616163418,-34.7637261042,NA,Uruguay,Canelones
220719434,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2024-06-05T14:37:00-03:00,2024-05-30,2024-05-30T11:19:08-03:00,https://www.inaturalist.org/observations/220719434,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-57.211525,-31.6513433,NA,Uruguay,Salto
220717119,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-06-05T14:25:59-03:00,2024-05-30,2024-05-30T11:13:35-03:00,https://www.inaturalist.org/observations/220717119,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-57.2103083,-31.6520516,NA,Uruguay,Salto
220716317,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-06-05T14:22:16-03:00,2024-05-30,2024-05-30T09:52:12-03:00,https://www.inaturalist.org/observations/220716317,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-57.2148232997,-31.6653349,NA,Uruguay,Salto
220378699,needs_id,FALSE,Schizomantodea,infraorder,1097013,515640,NA,FALSE,FALSE,FALSE,Insecta,NA,2024-06-03T22:28:36-03:00,2024-05-28,2024-05-28T09:43:51-03:00,https://www.inaturalist.org/observations/220378699,ornitoloca,Agustina Medina,2020-07-12T21:55:23+00:00,NaturalistaUY,5327,-57.5171782997,-30.8907716,NA,Uruguay,Salto
